street_name,street_type,lamp_type,longitude,latitude,wattage
Strickland,Avenue,LED,147.270394712561,-42.9039484053217,14.0
Strickland,Avenue,LED,147.27710479663,-42.9022294343343,18.0
Strickland,Avenue,LED,147.267854643503,-42.9058322287389,18.0
Summerleas,Road,LED,147.271716682343,-42.9289078216028,18.0
Rosehill,Crescent,LED,147.287959221165,-42.8689247702806,18.0
Strickland,Avenue,LED,147.275375469101,-42.9002200716573,18.0
Strickland,Avenue,HPS,147.265150013344,-42.9073285842917,150.0
Ruth,Drive,LED,147.28368270619,-42.8713413887167,18.0
Grays,Road,LED,147.251671519901,-42.9264701910858,18.0
Huon,Road,LED,147.268356689654,-42.9165103926243,18.0
Summerleas,Road,LED,147.262290944627,-42.9236362972236,18.0
Strickland,Avenue,LED,147.278950510034,-42.902024297294,18.0
Huon,Road,LED,147.269510544642,-42.9120347089146,18.0
Strickland,Avenue,LED,147.267532996002,-42.9062175492571,18.0
Collins,Street,MV,147.330039417882,-42.8811137437254,400.0
Collins,Street,MV,147.330692113496,-42.8806544017699,400.0
Hunter,Street,HPS,147.334733042433,-42.8814282511555,250.0
Hunter,Street,HPS,147.334733054629,-42.8814282421146,150.0
Hunter,Street,HPS,147.334282031696,-42.881240449282,150.0
Brooker,Avenue,HPS,147.334306520767,-42.8790651282128,250.0
Swanston,Street,LED,147.306820498328,-42.8556494637198,18.0
New Town,Road,HPS,147.310930871394,-42.8632373286854,250.0
Cross,Street,LED,147.309192006338,-42.8557225830637,18.0
Roope,Street,LED,147.307073713689,-42.8589089038166,18.0
Brooker,Avenue,HPS,147.315981723705,-42.8635806058685,250.0
Creek,Road,HPS,147.29589082969,-42.8540296101924,150.0
Feltham,Street,LED,147.32068786922,-42.8692452129979,18.0
Letitia,Street,LED,147.320850763479,-42.870037942194,18.0
Letitia,Street,LED,147.321657548785,-42.8708236408417,18.0
Doyle,Avenue,LED,147.301282772506,-42.868764555538,18.0
Oldham,Avenue,CFL,147.314031108962,-42.8596221101368,42.0
Park,Street,CFL,147.313569119455,-42.86118803831,42.0
Elaine,Crescent,LED,147.305876098606,-42.8782095780373,18.0
Girvan,Avenue,LED,147.299060279454,-42.8627007335838,18.0
Brisbane,Street,MV,147.320581870297,-42.8820512738772,125.0
St Johns,Avenue,LED,147.298827091816,-42.8539151004831,18.0
Pedder,Street,LED,147.304177647237,-42.8611401604021,18.0
Pedder,Street,LED,147.307301213972,-42.8615489720177,18.0
Brooker,Avenue,HPS,147.333246781963,-42.8787832459099,250.0
Pirie,Street,LED,147.308320299282,-42.859183034164,18.0
Giblin,Street,LED,147.295760570684,-42.8642159270315,14.0
Forster,Street,LED,147.30229529859,-42.8565623285268,25.0
New Town,Road,HPS,147.300535735103,-42.8532192275019,250.0
Bromby,Street,LED,147.301142100735,-42.8516255668113,18.0
Stainforth,Court,MV,147.315623348797,-42.8513085609691,80.0
Giblin,Street,LED,147.2962958228,-42.8625840170176,18.0
Giblin,Street,LED,147.296761133615,-42.8610253093342,25.0
Giblin,Street,HPS,147.295553741548,-42.8656391806254,250.0
Burnett,Street,HPS,147.320839203131,-42.8728005162275,250.0
Elizabeth,Street,HPS,147.318317774198,-42.8760256804711,400.0
Valley,Street,LED,147.302555833029,-42.8755214374054,18.0
Franklin,Street,MV,147.309447783708,-42.8771137730345,80.0
Park,Street,LED,147.311018981017,-42.857368451735,18.0
Bellevue,Parade,LED,147.314564323413,-42.8548818024608,18.0
Pirie,Street,LED,147.307421464516,-42.8585644363113,18.0
Burnett,Street,HPS,147.320524470064,-42.8729513266799,250.0
Burnett,Street,HPS,147.321513428396,-42.8724167109126,250.0
Burnett,Street,HPS,147.322508217523,-42.8717378055155,250.0
Carlton,Street,LED,147.29922825588,-42.8638995481361,14.0
Queens,Walk,LED,147.316945628946,-42.8520279000376,18.0
Domain,Highway,HPS,147.326586867233,-42.8596919505866,250.0
Domain,Highway,HPS,147.328612395157,-42.8609056618115,250.0
Davies,Avenue,MV,147.33375932277,-42.8745424752523,250.0
Roope,Street,MV,147.305371020659,-42.8599373336008,80.0
Domain,Highway,LED,147.335279552537,-42.8642807526065,75.0
Park,Street,HPS,147.311909847308,-42.8586132810313,150.0
Bishop,Street,CFL,147.311867810307,-42.8581603476994,42.0
Bell,Street,LED,147.315608470809,-42.8548237445346,18.0
Flint,Avenue,LED,147.306703818466,-42.8580989766215,18.0
Brisbane,Street,HPS,147.325464880263,-42.8778601416221,250.0
New Town,Road,HPS,147.307785580459,-42.8604460976317,250.0
Alfred,Street,LED,147.298397938387,-42.8598653508245,18.0
Brooker,Avenue,HPS,147.316810985492,-42.8645075526448,250.0
Cressy,Street,LED,147.312425095493,-42.8565039413926,18.0
Harbroe,Avenue,LED,147.310890868863,-42.8560231636932,18.0
Loina,Street,LED,147.312741747578,-42.8554822712515,18.0
Douglas,Street,LED,147.301770152739,-42.8641527516114,18.0
New Town,Road,HPS,147.30207818162,-42.8547266650189,250.0
Risdon,Road,HPS,147.304402603977,-42.8552195381793,250.0
Park,Street,LED,147.316182934753,-42.864114676756,18.0
Cycleway,N/A,CFL,147.325880393525,-42.8588201701071,42.0
Bishop,Street,LED,147.311153115096,-42.8587076263591,18.0
Sunnyside,Road,LED,147.312026154421,-42.8628594765357,18.0
Domain,Highway,LED,147.335519170341,-42.864603583832,75.0
Senator,Street,MV,147.306539340934,-42.8693049230459,80.0
Ross,Place,LED,147.296201138476,-42.872972584729,14.0
George,Street,LED,147.320751827133,-42.8707871619032,18.0
Smith,Street,LED,147.32040671461,-42.8714630111688,18.0
Arthur,Street,LED,147.312728963074,-42.8756908582607,18.0
Burnett,Street,HPS,147.315998245053,-42.8753036600663,250.0
Lefroy,Street,LED,147.315893425576,-42.8730376808266,18.0
Elizabeth,Street,HPS,147.315915390218,-42.8735561442619,250.0
Elizabeth,Street,HPS,147.317232868929,-42.8746905975566,250.0
Burnett,Street,HPS,147.318536186141,-42.8737240084545,250.0
Hickman,Street,LED,147.298114845303,-42.8647737419313,18.0
New Town,Road,HPS,147.300857286053,-42.8535001682801,250.0
New Town,Road,HPS,147.301091918817,-42.853701540669,250.0
Cycleway,N/A,LED,147.329031659429,-42.8614579323716,18.0
Cycleway,N/A,LED,147.328043024598,-42.8602534647652,18.0
Cycleway,N/A,LED,147.323811411348,-42.8573513136129,18.0
Domain,Highway,LED,147.336018267793,-42.8647251865005,75.0
Tasman (Brooker to Tasman Br),Highway,HPS,147.334256611377,-42.8777130784562,400.0
Tasman,Bridge,LED,147.341977927764,-42.864969126745,175.0
Tasman,Bridge,LED,147.342661952574,-42.8649176515786,175.0
Forster,Street,LED,147.298962490083,-42.8588686209933,25.0
Cross,Street,LED,147.304266150519,-42.8604545678268,18.0
Cross,Street,LED,147.304560193498,-42.8593242149803,18.0
Burnett,Street,MV,147.316029027198,-42.8746847594411,400.0
Brooker,Avenue,HPS,147.334182406696,-42.8787244069359,400.0
Tasman (brkr To Br),Highway,LED,147.336828950143,-42.8656714659911,175.0
Tasman,Highway,HPS,147.333559108452,-42.877019716528,250.0
Tasman,Highway,HPS,147.333886928536,-42.876741137412,400.0
Brooker,Avenue,HPS,147.321553783826,-42.8699523738627,250.0
Tasman (City end Intchnge),Bridge,LED,147.336564732154,-42.8654419335652,75.0
Harrington,Street,MV,147.319953750972,-42.8809970733255,250.0
Argyle,Street,HPS,147.331468699236,-42.882385264584,250.0
Strahan (nr Elzbth),Street,HPS,147.315177924372,-42.8726808012681,150.0
New Town,Road,HPS,147.299736872287,-42.8525134859223,250.0
Thirza,Street,LED,147.306073799032,-42.8624980862798,18.0
Domain,Highway,LED,147.336431160217,-42.8652909561886,75.0
Tasman (Brkr to Br),Highway,LED,147.336402819125,-42.8657687521462,75.0
Tasman (Brkr to Br),Highway,LED,147.336186322743,-42.8658259412679,175.0
Tasman (Brkr to Br),Highway,HPS,147.335169635731,-42.8693091236313,250.0
Tasman (Brkr to Br),Highway,HPS,147.334343450385,-42.8743385574518,400.0
Harrington,Street,HPS,147.31905919733,-42.8805806356586,400.0
Gordon,Avenue,LED,147.29824838479,-42.8701251753409,18.0
Toorak,Avenue,LED,147.303573595857,-42.8680208902721,18.0
Toorak,Avenue,LED,147.303547123248,-42.8672504588408,18.0
Lansdowne,Crescent,HPS,147.310263130633,-42.8801758894556,150.0
Joynton,Street,LED,147.30504586229,-42.8656953590981,18.0
Elizabeth,Street,HPS,147.319042482506,-42.8777570795632,250.0
Elizabeth,Street,HPS,147.319042470169,-42.877757061587,70.0
Elizabeth,Street,HPS,147.31879501638,-42.8773205628628,250.0
Brisbane,Street,MV,147.325338145047,-42.8781155221292,400.0
Liverpool,Street,MV,147.330051774183,-42.878984295248,400.0
Bay,Road,CFL,147.309658712283,-42.8566102717497,42.0
Bell,Street,LED,147.317179829563,-42.8550488936609,18.0
Domain,Highway,LED,147.335312488376,-42.8644446335354,75.0
Cycleway,N/A,LED,147.329473994062,-42.8620908224162,18.0
Domain,Highway,LED,147.328618638446,-42.8608110882529,18.0
Queens,Walk,LED,147.313487483192,-42.8494129290959,18.0
Queens,Walk,LED,147.313822211528,-42.8499223525097,18.0
Harding,Street,LED,147.303454251945,-42.8627188267435,18.0
Selfs Point,Road,LED,147.315907604896,-42.8505738438333,18.0
Bellevue,Parade,LED,147.318295008884,-42.8556945594,18.0
Bellevue,Parade,LED,147.318295008884,-42.8556945594,18.0
New Town,Road,HPS,147.311705829848,-42.8674871517049,250.0
Wilson,Street,HPS,147.311863929824,-42.8678668704619,250.0
Elizabeth,Street,HPS,147.311962623475,-42.868143000925,250.0
Cross,Street,LED,147.306516146678,-42.8570249390963,18.0
Springvale,Avenue,LED,147.305038266028,-42.8517733325522,18.0
Risdon,Road,HPS,147.305662662736,-42.8544482714617,250.0
Queens,Walk,LED,147.314285692489,-42.8505220420574,18.0
Swanston,Street,LED,147.310364013548,-42.859084947029,18.0
Park,Street,CFL,147.313076306372,-42.8603649336698,42.0
New Town,Road,HPS,147.299487612122,-42.8534017648937,250.0
Douglas,Street,LED,147.303947453933,-42.8644818631939,18.0
Brooker,Avenue,HPS,147.312873428302,-42.8502817306826,250.0
Queens,Walk,HPS,147.311159501758,-42.8514369564142,400.0
New Town (nr Risdon Rd),Road,HPS,147.303188793397,-42.8556754646716,250.0
New Town,Road,HPS,147.309051206298,-42.8610678994118,250.0
New Town,Road,LED,147.309322517377,-42.8613594697835,175.0
Cycleway,N/A,LED,147.324478170761,-42.8578237353793,18.0
Cycleway,N/A,LED,147.32305534457,-42.856907047379,18.0
Carlton,Street,LED,147.299618854205,-42.8624420008696,30.0
Creek (St Johns Pk),Road,LED,147.297093717518,-42.8544822811503,18.0
Creek (St Johns Pk),Road,LED,147.297496654377,-42.8549212614198,75.0
Valley,Street,LED,147.304963551951,-42.875529160731,18.0
Domain,Highway,HPS,147.333243706536,-42.8643253108467,250.0
Park,Street,LED,147.311230905734,-42.8576939669826,18.0
Park,Street,LED,147.310797829279,-42.8570307229111,18.0
Park,Street,LED,147.312368837058,-42.8606317298792,14.0
Pedder,Street,LED,147.297265516545,-42.8602904200619,14.0
Pedder,Street,LED,147.297265516545,-42.8602904200619,18.0
Domain,Highway,HPS,147.324668561546,-42.8584900564008,250.0
Domain,Highway,HPS,147.325368830265,-42.8590020912357,250.0
Domain,Highway,LED,147.328253486115,-42.8605797899796,14.0
Bell,Street,LED,147.317821358583,-42.8551414633292,18.0
Bellevue,Parade,HPS,147.319055795851,-42.8558954305767,150.0
Bell,Street,LED,147.311449272348,-42.8541786555513,18.0
Oldham,Avenue,CFL,147.314786347696,-42.8572275161361,42.0
Oldham,Avenue,LED,147.314399807526,-42.8580016746332,18.0
Park,Street,LED,147.312114844327,-42.860312680334,14.0
Argyle,Street,HPS,147.314864165494,-42.8682062541131,250.0
Knocklofty,Terrace,LED,147.305566217279,-42.8799819225774,18.0
Gordon,Avenue,LED,147.30377801651,-42.8705414773488,18.0
Salier,Crescent,LED,147.298753828189,-42.8691670458171,18.0
Swanston,Street,LED,147.311425198295,-42.8604706471021,18.0
Montagu,Street,HPS,147.302231689943,-42.8609252060694,250.0
Montagu,Street,LED,147.300807794377,-42.8636385961476,30.0
Montagu,Street,LED,147.300876536381,-42.8640556218896,30.0
Pedder,Street,LED,147.300533731337,-42.860703903627,18.0
St Johns,Avenue,LED,147.299977828199,-42.8534033002723,14.0
Pedder,Street,HPS,147.30269550762,-42.8609006660817,150.0
Tower,Road,CFL,147.302001771511,-42.8530518785996,42.0
Argyle,Street,HPS,147.312467536859,-42.8654065191401,250.0
Argyle,Street,HPS,147.312397593123,-42.8655098656319,250.0
Argyle,Street,HPS,147.313204261575,-42.86616008622,250.0
Wilson,Street,CFL,147.31338338735,-42.8673675297541,42.0
Wilson,Street,LED,147.313774309771,-42.8671522322456,14.0
Benjafield,Terrace,LED,147.302337455316,-42.8709174788752,18.0
New Town,Road,HPS,147.298552480981,-42.8513688259069,250.0
Carlton,Street,HPS,147.300872482651,-42.8578584907842,250.0
